"_id","_labels","date","dob","id","name","shortName","stage","year","_start","_end","_type","minute","minuteOn","penaltyScore","score","type"
"0",":Tournament","","","251475","Germany 2011","germany2011","","2011",,,,,,,,
"1",":Tournament","","","278513","France 2019","france2019","","2019",,,,,,,,
"2",":Tournament","","","3373","China PR 1991","chinapr1991","","1991",,,,,,,,
"3",":Tournament","","","6929","USA 2003","usa2003","","2003",,,,,,,,
"4",":Tournament","","","4654","Sweden 1995","sweden1995","","1995",,,,,,,,
"5",":Tournament","","","4644","USA 1999","usa1999","","1999",,,,,,,,
"6",":Tournament","","","10232","China 2007","china2007","","2007",,,,,,,,
"7",":Tournament","","","266030","Canada 2015","canada2015","","2015",,,,,,,,
"8",":Team","","","1888631","Equatorial Guinea","","","",,,,,,,,
"9",":Team","","","1882893","Nigeria","","","",,,,,,,,
"10",":Team","","","1882891","Australia","","","",,,,,,,,
"11",":Team","","","1883723","Japan","","","",,,,,,,,
"12",":Team","","","1883726","Korea DPR","","","",,,,,,,,
"13",":Team","","","1883720","England","","","",,,,,,,,
"14",":Team","","","1884761","France","","","",,,,,,,,
"15",":Team","","","1882879","Germany","","","",,,,,,,,
"16",":Team","","","1882882","Norway","","","",,,,,,,,
"17",":Team","","","1882883","Sweden","","","",,,,,,,,
"18",":Team","","","1883718","Canada","","","",,,,,,,,
"19",":Team","","","1883724","Mexico","","","",,,,,,,,
"20",":Team","","","1882884","USA","","","",,,,,,,,
"21",":Team","","","1883725","New Zealand","","","",,,,,,,,
"22",":Team","","","1882881","Brazil","","","",,,,,,,,
"23",":Team","","","1885035","Colombia","","","",,,,,,,,
"24",":Team","","","1884881","Argentina","","","",,,,,,,,
"25",":Team","","","1885020","Cameroon","","","",,,,,,,,
"26",":Team","","","1885005","Chile","","","",,,,,,,,
"27",":Team","","","1882892","China PR","","","",,,,,,,,
"28",":Team","","","1883722","Italy","","","",,,,,,,,
"29",":Team","","","1885011","Jamaica","","","",,,,,,,,
"30",":Team","","","1885010","Korea Republic","","","",,,,,,,,
"31",":Team","","","1884883","Netherlands","","","",,,,,,,,
"32",":Team","","","1884802","Scotland","","","",,,,,,,,
"33",":Team","","","1885031","South Africa","","","",,,,,,,,
"34",":Team","","","1884823","Spain","","","",,,,,,,,
"35",":Team","","","1885009","Thailand","","","",,,,,,,,
"36",":Team","","","1883728","Chinese Taipei","","","",,,,,,,,
"37",":Team","","","1883719","Denmark","","","",,,,,,,,
"38",":Team","","","1883721","Ghana","","","",,,,,,,,
"39",":Team","","","1883727","Russia","","","",,,,,,,,
"40",":Team","","","1887476","C̫te d'Ivoire","","","",,,,,,,,
"41",":Team","","","1884203","Switzerland","","","",,,,,,,,
"42",":Team","","","1884880","Costa Rica","","","",,,,,,,,
"43",":Team","","","1885022","Ecuador","","","",,,,,,,,
"44",":Squad","","","Brazil in 2007","","","","",,,,,,,,
"45",":Person","","1977-09-14","39","Andreia","","","",,,,,,,,
"46",":Person","","1982-11-01","201416","Elaine","","","",,,,,,,,
"47",":Person","","1982-07-06","212298","Aline","","","",,,,,,,,
"48",":Person","","1974-10-03","36","Tania","","","",,,,,,,,
"49",":Person","","1986-07-08","190354","Renata Costa","","","",,,,,,,,
"50",":Person","","1982-07-07","178667","Rosana","","","",,,,,,,,
"51",":Person","","1984-01-12","178665","Daniela","","","",,,,,,,,
"52",":Person","","1978-03-03","31","Formiga","","","",,,,,,,,
"53",":Person","","1977-04-30","29","Maycon","","","",,,,,,,,
"54",":Person","","1986-02-19","190358","Marta","","","",,,,,,,,
"55",":Person","","1985-05-15","190362","Cristiane","","","",,,,,,,,
